Job 6 Selective Steering Results
================================

| Benchmark | Baseline Cycles | Selective Switched Cycles | Cycle Delta (%) | Baseline Core Pwr (mW) | Selective Core Pwr (mW) | Core Power Delta (%) | u_mule Pwr (mW) |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| complex_mul_vec | 109170 | 111216 | +1.874% | 7.443486 | 7.460166 | +0.224% | 0.1195 |
| fft_butterfly | 84951 | 86483 | +1.803% | 7.504464 | 7.510380 | +0.079% | 0.1193 |
| fir_direct | 322139 | 322139 | +0.000% | 7.988423 | 7.988423 | +0.000% | 0.1159 |
| fir_unrolled | 141372 | 153466 | +8.555% | 8.086428 | 8.061676 | -0.306% | 0.1289 |
| matmul_tiled | 562835 | 562835 | +0.000% | 8.148145 | 8.148145 | +0.000% | 0.1159 |
| outer_product | 71737 | 71737 | +0.000% | 8.329699 | 8.329699 | +0.000% | 0.1159 |
| complex_bank | 37321 | 39292 | +5.281% | 8.261768 | 8.227398 | -0.416% | 0.1277 |
| estrin_2level | 52321 | 62554 | +19.558% | 8.582161 | 8.518186 | -0.745% | 0.1845 |
| estrin_poly | 49251 | 60506 | +22.852% | 8.670274 | 8.564447 | -1.221% | 0.1883 |
| extended_estrin | 67681 | 78942 | +16.638% | 8.617412 | 8.585764 | -0.367% | 0.1979 |
| filter_bank_4out | 116982 | 125173 | +7.002% | 8.356567 | 8.343662 | -0.154% | 0.1385 |
| grouped_correlation_bank | 59465 | 66376 | +11.622% | 8.367588 | 8.278876 | -1.060% | 0.1351 |
| multi_accumulator | 23049 | 25603 | +11.081% | 8.351416 | 8.310586 | -0.489% | 0.1349 |
| rdr_like_corr | 50366 | 53438 | +6.099% | 8.275377 | 8.245333 | -0.363% | 0.1363 |
| reduction_tree_mul | 23237 | 26304 | +13.199% | 8.265853 | 8.184042 | -0.990% | 0.1288 |
| sliding_correlation | 53344 | 53344 | +0.000% | 8.127771 | 8.127771 | +0.000% | 0.1159 |
| unrolled_dot8 | 4617 | 4874 | +5.566% | 8.334907 | 8.314969 | -0.239% | 0.1294 |
| unrolled_dot16 | 6667 | 7945 | +19.169% | 8.356278 | 8.239265 | -1.400% | 0.1363 |
| unrolled_dot32 | 7916 | 9193 | +16.132% | 8.323266 | 8.223564 | -1.198% | 0.1349 |
| unrolled_dot64 | 7436 | 8714 | +17.187% | 8.321954 | 8.219933 | -1.226% | 0.1376 |

Best cycle result: fir_direct at +0.000%.
Largest core power reduction: unrolled_dot16 at -1.400%.
