window_index,start_ps,end_ps,toggled_bits,toggle_events
0,0,80000,789599,394584
1,80000,160000,5521,2206
2,160000,240000,7199,2239
3,240000,320000,10427,2549
4,320000,400000,7801,2337
5,400000,480000,10032,2450
6,480000,560000,12338,2418
7,560000,640000,12284,2536
8,640000,720000,10487,2513
9,720000,800000,14573,2769
10,800000,880000,15847,3435
11,880000,960000,12501,2551
12,960000,1040000,18987,3471
13,1040000,1120000,19866,3768
14,1120000,1200000,16155,3483
15,1200000,1280000,12162,2294
16,1280000,1360000,19973,3970
17,1360000,1440000,22334,4215
18,1440000,1520000,15948,3361
19,1520000,1600000,12948,2485
20,1600000,1680000,22431,4002
21,1680000,1760000,20481,3891
22,1760000,1840000,16339,3443
23,1840000,1920000,14058,2733
24,1920000,2000000,19800,3995
25,2000000,2080000,19464,3624
26,2080000,2160000,16053,3364
27,2160000,2240000,16006,3081
28,2240000,2320000,22905,4001
29,2320000,2400000,18038,3610
30,2400000,2480000,15637,3129
31,2480000,2560000,17570,3305
32,2560000,2640000,19910,4005
33,2640000,2720000,17768,3590
34,2720000,2800000,15090,3022
35,2800000,2880000,18306,3437
36,2880000,2960000,22266,4113
37,2960000,3040000,16498,3573
38,3040000,3120000,13031,2584
39,3120000,3200000,19342,3775
40,3200000,3280000,21135,4155
41,3280000,3360000,17056,3559
42,3360000,3440000,12519,2364
43,3440000,3520000,21441,3982
44,3520000,3600000,23433,4301
45,3600000,3680000,16375,3483
46,3680000,3760000,12344,2294
47,3760000,3840000,19639,3971
48,3840000,3920000,21480,4222
49,3920000,4000000,16220,3361
50,4000000,4080000,13437,2485
51,4080000,4160000,22108,4005
52,4160000,4240000,20016,3880
53,4240000,4320000,16492,3443
54,4320000,4400000,14367,2733
55,4400000,4480000,19638,3989
56,4480000,4560000,18515,3620
57,4560000,4640000,16275,3364
58,4640000,4720000,16988,3081
59,4720000,4800000,22320,4012
60,4800000,4880000,18284,3623
61,4880000,4960000,15876,3129
62,4960000,5040000,17645,3305
63,5040000,5120000,20818,4006
64,5120000,5200000,18382,3593
65,5200000,5280000,15473,3022
66,5280000,5360000,18747,3437
67,5360000,5440000,22894,4114
68,5440000,5520000,16579,3568
69,5520000,5600000,13001,2584
70,5600000,5680000,18773,3776
71,5680000,5760000,21319,4155
72,5760000,5840000,17149,3556
73,5840000,5920000,12607,2364
74,5920000,6000000,21589,3981
75,6000000,6080000,24176,4313
76,6080000,6160000,16407,3482
77,6160000,6240000,12528,2294
78,6240000,6320000,20145,3970
79,6320000,6400000,22278,4215
80,6400000,6480000,16178,3361
81,6480000,6560000,13322,2485
82,6560000,6640000,22227,4002
83,6640000,6720000,20601,3885
84,6720000,6800000,16508,3443
85,6800000,6880000,14121,2733
86,6880000,6960000,19285,3992
87,6960000,7040000,19211,3621
88,7040000,7120000,16305,3364
89,7120000,7200000,17073,3081
90,7200000,7280000,22915,4001
91,7280000,7360000,17978,3610
92,7360000,7440000,16109,3129
93,7440000,7520000,18054,3305
94,7520000,7600000,20398,4005
95,7600000,7680000,17993,3596
96,7680000,7760000,15370,3022
97,7760000,7840000,18616,3437
98,7840000,7920000,23219,4107
99,7920000,8000000,17018,3573
100,8000000,8080000,13480,2584
101,8080000,8160000,19952,3775
102,8160000,8240000,21671,4161
103,8240000,8320000,17433,3559
104,8320000,8400000,12959,2364
105,8400000,8480000,21761,3982
106,8480000,8560000,23563,4307
107,8560000,8640000,16840,3483
108,8640000,8720000,12824,2294
109,8720000,8800000,20333,3971
110,8800000,8880000,22571,4222
111,8880000,8960000,16368,3361
112,8960000,9040000,13406,2485
113,9040000,9120000,22443,3999
114,9120000,9200000,20229,3880
115,9200000,9280000,16417,3443
116,9280000,9360000,14042,2733
117,9360000,9440000,19812,3989
118,9440000,9520000,19112,3620
119,9520000,9600000,16171,3364
120,9600000,9680000,16576,3081
121,9680000,9760000,22636,4006
122,9760000,9840000,18159,3617
123,9840000,9920000,15101,3129
124,9920000,10000000,16810,3305
125,10000000,10080000,20402,4006
126,10080000,10160000,17837,3593
127,10160000,10240000,14346,3022
128,10240000,10320000,17656,3437
129,10320000,10400000,22471,4108
130,10400000,10480000,16558,3568
131,10480000,10560000,12587,2584
132,10560000,10640000,18830,3776
133,10640000,10720000,22196,4149
134,10720000,10800000,16880,3556
135,10800000,10880000,12474,2364
136,10880000,10960000,21252,3981
137,10960000,11040000,24226,4307
138,11040000,11120000,16217,3482
139,11120000,11200000,12079,2294
140,11200000,11280000,20069,3970
141,11280000,11360000,22771,4215
142,11360000,11440000,15734,3361
143,11440000,11520000,12635,2485
144,11520000,11600000,21698,4002
145,11600000,11680000,20164,3885
146,11680000,11760000,15887,3443
147,11760000,11840000,13807,2733
148,11840000,11920000,20009,3992
149,11920000,12000000,19718,3627
150,12000000,12080000,15647,3364
151,12080000,12160000,15923,3081
152,12160000,12240000,23182,4007
153,12240000,12320000,18346,3610
154,12320000,12400000,15002,3129
155,12400000,12480000,17215,3305
156,12480000,12560000,20969,4011
157,12560000,12640000,17921,3590
158,12640000,12720000,14703,3022
159,12720000,12800000,18031,3437
160,12800000,12880000,22888,4119
161,12880000,12960000,16829,3573
162,12960000,13040000,12752,2584
163,13040000,13120000,19181,3775
164,13120000,13200000,21634,4158
165,13200000,13280000,16950,3562
166,13280000,13360000,12554,2364
167,13360000,13440000,21473,3982
168,13440000,13520000,23958,4301
169,13520000,13600000,16343,3483
170,13600000,13680000,12484,2294
171,13680000,13760000,20440,3971
172,13760000,13840000,22786,4222
173,13840000,13920000,16205,3361
174,13920000,14000000,13512,2485
175,14000000,14080000,22266,3999
176,14080000,14160000,20086,3880
177,14160000,14240000,16358,3443
178,14240000,14320000,14344,2733
179,14320000,14400000,20399,3989
180,14400000,14480000,19242,3620
181,14480000,14560000,15730,3364
182,14560000,14640000,16623,3081
183,14640000,14720000,22754,4006
184,14720000,14800000,18266,3623
185,14800000,14880000,15256,3129
186,14880000,14960000,17152,3305
187,14960000,15040000,21238,4006
188,15040000,15120000,18133,3593
189,15120000,15200000,14541,3022
190,15200000,15280000,17722,3437
191,15280000,15360000,22883,4114
192,15360000,15440000,16650,3568
193,15440000,15520000,12653,2584
194,15520000,15600000,18903,3776
195,15600000,15680000,21458,4149
196,15680000,15760000,16851,3556
197,15760000,15840000,12535,2364
198,15840000,15920000,21054,3981
199,15920000,16000000,24083,4307
200,16000000,16080000,16139,3482
201,16080000,16160000,12316,2294
202,16160000,16240000,20050,3970
203,16240000,16320000,22302,4221
204,16320000,16400000,15939,3361
205,16400000,16480000,13355,2485
206,16480000,16560000,22368,4002
207,16560000,16640000,20452,3885
208,16640000,16720000,16304,3443
209,16720000,16800000,14124,2733
210,16800000,16880000,19884,3992
211,16880000,16960000,19298,3621
212,16960000,17040000,16046,3364
213,17040000,17120000,16758,3081
214,17120000,17200000,22876,4007
215,17200000,17280000,18209,3610
216,17280000,17360000,15392,3129
217,17360000,17440000,17596,3305
218,17440000,17520000,20733,4005
219,17520000,17600000,17987,3590
220,17600000,17680000,14922,3022
221,17680000,17760000,18419,3437
222,17760000,17840000,22623,4107
223,17840000,17920000,16941,3573
224,17920000,18000000,13015,2584
225,18000000,18080000,19596,3775
226,18080000,18160000,21772,4155
227,18160000,18240000,17270,3559
228,18240000,18320000,12986,2364
229,18320000,18400000,22171,3988
230,18400000,18480000,24263,4301
231,18480000,18560000,16585,3483
232,18560000,18640000,12675,2294
233,18640000,18720000,20235,3971
234,18720000,18800000,22644,4228
235,18800000,18880000,16031,3361
236,18880000,18960000,13504,2485
237,18960000,19040000,22382,3999
238,19040000,19120000,20536,3886
239,19120000,19200000,16309,3443
240,19200000,19280000,14358,2733
241,19280000,19360000,20302,3989
242,19360000,19440000,19242,3620
243,19440000,19520000,16133,3364
244,19520000,19600000,17058,3081
245,19600000,19680000,22634,4006
246,19680000,19760000,18317,3617
247,19760000,19840000,14980,3129
248,19840000,19920000,16307,3305
249,19920000,20000000,20848,4015
250,20000000,20080000,17906,3596
251,20080000,20160000,14351,3022
252,20160000,20240000,17388,3437
253,20240000,20320000,23073,4108
254,20320000,20400000,16338,3568
255,20400000,20480000,12616,2584
256,20480000,20560000,18959,3776
257,20560000,20640000,21388,4149
258,20640000,20720000,17030,3556
259,20720000,20800000,12363,2364
260,20800000,20880000,21366,3981
261,20880000,20960000,23741,4313
262,20960000,21040000,16105,3482
263,21040000,21120000,12128,2294
264,21120000,21200000,20257,3970
265,21200000,21280000,22526,4221
266,21280000,21360000,15798,3361
267,21360000,21440000,12956,2485
268,21440000,21520000,22417,4002
269,21520000,21600000,20448,3885
270,21600000,21680000,16078,3443
271,21680000,21760000,14041,2733
272,21760000,21840000,20045,3992
273,21840000,21920000,19356,3621
274,21920000,22000000,15926,3364
275,22000000,22080000,15719,3081
276,22080000,22160000,22926,4001
277,22160000,22240000,18149,3610
278,22240000,22320000,15227,3129
279,22320000,22400000,16997,3305
280,22400000,22480000,20162,4005
281,22480000,22560000,17753,3590
282,22560000,22640000,14582,3022
283,22640000,22720000,17580,3437
284,22720000,22800000,22315,4107
285,22800000,22880000,16275,3573
286,22880000,22960000,12831,2584
287,22960000,23040000,18888,3775
288,23040000,23120000,21423,4155
289,23120000,23200000,16891,3559
290,23200000,23280000,12173,2364
291,23280000,23360000,21022,3982
292,23360000,23440000,23689,4301
293,23440000,23520000,16144,3483
294,23520000,23600000,12013,2294
295,23600000,23680000,19841,3971
296,23680000,23760000,22782,4228
297,23760000,23840000,16103,3361
298,23840000,23920000,13172,2485
299,23920000,24000000,22030,3999
300,24000000,24080000,20108,3880
301,24080000,24160000,16335,3443
302,24160000,24240000,14182,2733
303,24240000,24320000,20005,3989
304,24320000,24400000,18980,3620
305,24400000,24480000,15950,3364
306,24480000,24560000,16211,3081
307,24560000,24640000,22587,4006
308,24640000,24720000,18209,3617
309,24720000,24800000,15495,3129
310,24800000,24880000,17116,3305
311,24880000,24960000,20691,4006
312,24960000,25040000,18246,3593
313,25040000,25120000,15012,3022
314,25120000,25200000,18277,3437
315,25200000,25280000,22166,4108
316,25280000,25360000,16811,3568
317,25360000,25440000,12661,2584
318,25440000,25520000,19184,3776
319,25520000,25600000,22154,4149
320,25600000,25680000,17018,3556
321,25680000,25760000,12377,2364
322,25760000,25840000,21167,3981
323,25840000,25920000,24181,4307
324,25920000,26000000,16096,3482
325,26000000,26080000,12093,2294
326,26080000,26160000,20238,3970
327,26160000,26240000,23096,4215
328,26240000,26320000,15952,3361
329,26320000,26400000,13149,2485
330,26400000,26480000,22116,4002
331,26480000,26560000,20025,3885
332,26560000,26640000,16255,3443
333,26640000,26720000,13611,2733
334,26720000,26800000,19657,3998
335,26800000,26880000,19207,3621
336,26880000,26960000,15771,3364
337,26960000,27040000,16470,3081
338,27040000,27120000,22790,4007
339,27120000,27200000,17922,3616
340,27200000,27280000,15659,3129
341,27280000,27360000,17737,3305
342,27360000,27440000,21205,4005
343,27440000,27520000,18301,3590
344,27520000,27600000,15316,3022
345,27600000,27680000,18564,3437
