window_index,start_ps,end_ps,toggled_bits,toggle_events
0,0,80000,789609,394587
1,80000,160000,5579,2228
2,160000,240000,7228,2256
3,240000,320000,10448,2561
4,320000,400000,7855,2345
5,400000,480000,9918,2449
6,480000,560000,12893,2530
7,560000,640000,12348,2545
8,640000,720000,11367,2575
9,720000,800000,14635,2776
10,800000,880000,15918,3479
11,880000,960000,13066,2670
12,960000,1040000,18999,3537
13,1040000,1120000,19994,3812
14,1120000,1200000,16439,3526
15,1200000,1280000,12879,2413
16,1280000,1360000,22033,4058
17,1360000,1440000,24095,4278
18,1440000,1520000,15940,3405
19,1520000,1600000,13558,2604
20,1600000,1680000,22587,4089
21,1680000,1760000,20796,3940
22,1760000,1840000,16576,3517
23,1840000,1920000,14431,2829
24,1920000,2000000,21854,4090
25,2000000,2080000,20072,3664
26,2080000,2160000,16310,3438
27,2160000,2240000,16509,3178
28,2240000,2320000,23163,4096
29,2320000,2400000,18316,3656
30,2400000,2480000,15928,3207
31,2480000,2560000,18046,3400
32,2560000,2640000,22269,4099
33,2640000,2720000,18412,3633
34,2720000,2800000,15477,3108
35,2800000,2880000,18983,3532
36,2880000,2960000,23117,4202
37,2960000,3040000,17146,3618
38,3040000,3120000,13572,2694
39,3120000,3200000,20360,3863
40,3200000,3280000,23085,4232
41,3280000,3360000,17265,3603
42,3360000,3440000,13180,2483
43,3440000,3520000,22027,4071
44,3520000,3600000,23442,4370
45,3600000,3680000,16735,3524
46,3680000,3760000,13059,2413
47,3760000,3840000,21872,4061
48,3840000,3920000,24046,4283
49,3920000,4000000,16288,3405
50,4000000,4080000,14086,2604
51,4080000,4160000,22149,4100
52,4160000,4240000,20675,3933
53,4240000,4320000,16755,3517
54,4320000,4400000,14798,2829
55,4400000,4480000,22012,4090
56,4480000,4560000,19301,3684
57,4560000,4640000,16541,3438
58,4640000,4720000,17535,3178
59,4720000,4800000,22802,4107
60,4800000,4880000,18801,3669
61,4880000,4960000,16168,3207
62,4960000,5040000,18255,3400
63,5040000,5120000,23876,4102
64,5120000,5200000,18679,3638
65,5200000,5280000,15845,3108
66,5280000,5360000,19339,3532
67,5360000,5440000,22549,4201
68,5440000,5520000,17096,3613
69,5520000,5600000,13549,2694
70,5600000,5680000,19800,3864
71,5680000,5760000,23313,4228
