scope,name,ops,cycles,latency_cycles,throughput_cycles,other_slot_ops,pass,total_power_mw,unit_power_mw,energy_pj,energy_per_op_pj,unit_energy_pj,unit_energy_per_op_pj,latency_energy_per_op_pj,throughput_energy_per_op_pj,total_report,unit_report,sim_log
core,mul,1024,12350,,,,True,13.90485107,2.274,1717249.107145,1677.001081196289,280839.0,274.2568359375,,,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/core_scope/vcd_mul/reports/power_total.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/core_scope/vcd_mul/reports/power_inst_a.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/logs/xrun_core_mul.log
core,mule,1024,12350,,,,True,13.57650438,0.9766,1676698.29093,1637.400674736328,120610.1,117.78330078125,,,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/core_scope/vcd_mule/reports/power_total.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/core_scope/vcd_mule/reports/power_inst_a.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/logs/xrun_core_mule.log
core,mula,1024,12350,,,,True,19.79067274,1.553,2444148.0833900003,2386.863362685547,191795.5,187.30029296875,,,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/core_scope/vcd_mula/reports/power_total.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/core_scope/vcd_mula/reports/power_inst_a.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/logs/xrun_core_mula.log
core,mulx,1024,12350,,,,True,19.79316642,0.7309,2444456.05287,2387.164114130859,90266.15,88.150537109375,,,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/core_scope/vcd_mulx/reports/power_total.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/core_scope/vcd_mulx/reports/power_inst_a.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/logs/xrun_core_mulx.log
core,mulb,1024,12350,,,,True,19.79387066,0.9137,2444543.0265099998,2387.2490493261716,112841.95,110.197216796875,,,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/core_scope/vcd_mulb/reports/power_total.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/core_scope/vcd_mulb/reports/power_inst_a.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/logs/xrun_core_mulb.log
core,mulr,1024,12350,,,,True,19.7938584,2.333,2444541.5124000004,2387.2475707031253,288125.5,281.37255859375,,,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/core_scope/vcd_mulr/reports/power_total.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/core_scope/vcd_mulr/reports/power_inst_a.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/logs/xrun_core_mulr.log
core,mulp,1024,12350,,,,True,19.79138091,0.9427,2444235.5423850003,2386.948771860352,116423.45,113.694775390625,,,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/core_scope/vcd_mulp/reports/power_total.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/core_scope/vcd_mulp/reports/power_inst_a.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/logs/xrun_core_mulp.log
core,cbm,1024,27699,,,,True,14.45006032,0.5445,4002522.2080368,3908.7130937859374,150821.055,147.2861865234375,,,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/core_scope/vcd_cbm/reports/power_total.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/core_scope/vcd_cbm/reports/power_inst_a.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/logs/xrun_core_cbm.log
unit,mul,1024,1027,3,1,3,True,3.68394605,3.68394605,37834.1259335,36.94738860693359,37834.1259335,36.94738860693359,110.5183815,36.8394605,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/mul_standalone/vcd/reports/power_total.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/mul_standalone/vcd/reports/power_total.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/logs/xrun_unit_mul.log
unit,mule,1024,5121,5,5,5,True,1.67436501,1.67436501,85744.2321621,83.73460172080078,85744.2321621,83.73460172080078,83.7182505,83.7182505,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/mule_standalone/vcd/reports/power_total.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/mule_standalone/vcd/reports/power_total.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/logs/xrun_unit_mule.log
unit,mula,1024,1025,1,1,1,True,4.14188598,4.14188598,42454.331294999996,41.459307905273434,42454.331294999996,41.459307905273434,41.41885979999999,41.41885979999999,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/mula_standalone/vcd/reports/power_total.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/mula_standalone/vcd/reports/power_total.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/logs/xrun_unit_mula.log
unit,mulx,1024,1025,1,1,1,True,0.44040334,0.44040334,4514.1342349999995,4.408334213867187,4514.1342349999995,4.408334213867187,4.404033399999999,4.404033399999999,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/mulx_standalone/vcd/reports/power_total.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/mulx_standalone/vcd/reports/power_total.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/logs/xrun_unit_mulx.log
unit,mulb,1024,1025,1,1,1,True,0.4175487,0.4175487,4279.874175,4.179564624023437,4279.874175,4.179564624023437,4.175487,4.175487,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/mulb_standalone/vcd/reports/power_total.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/mulb_standalone/vcd/reports/power_total.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/logs/xrun_unit_mulb.log
unit,mulr,1024,1025,1,1,1,True,1.46331395,1.46331395,14998.9679875,14.647429675292969,14998.9679875,14.647429675292969,14.6331395,14.6331395,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/mulr_standalone/vcd/reports/power_total.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/mulr_standalone/vcd/reports/power_total.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/logs/xrun_unit_mulr.log
unit,mulp,1024,1025,1,1,1,True,0.9091484,0.9091484,9318.7711,9.10036240234375,9318.7711,9.10036240234375,9.091484,9.091484,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/mulp_standalone/vcd/reports/power_total.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/mulp_standalone/vcd/reports/power_total.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/logs/xrun_unit_mulp.log
unit,cbm,1024,200001,5,5,5,False,,,,,,,,,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/cbm_standalone/vcd/reports/power_total.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/outputs/innovus/cbm_standalone/vcd/reports/power_total.rpt,/home/ykaraagac/cadence-bitirme/Flows/NanGate45/biriscv_mul_mule_power/scripts/cadence/logs/xrun_unit_cbm.log
